Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"07/04/1873   WS5  PH1  NA  4  PH1 12- Bill Stearns       9(B)3(1)6(2)/FTP             9*-3*-6*              Cherokee Fisher rf, Tim Murnane, 1b, Ezra Sutton, ss"
"10/16/1873   BL1  PH2  NA  6  PH2 12- Everett Mills      5(B)4(2)3(1)/LTP             5*-4*-3*              Levi Meyerle 3b, Jimmy Wood 2b, Jim Devlin, 1b"
"06/01/1874   PH2  BR2  NA  4  PH2 12- Charlie Fulmer     4(B)4(2)3(1)/LTP             4*-4*-3*              Billy West 2b, Jack Chapman, 1b"
"08/12/1874   PH2  HR1  NA  9  PH2 12- Bill Stearns       2(B)13(1)4(2)/FL/TP          2*-1-3*-4*            Bill Carver c, Arthur Cummings p, Denny Mack 1b, John Radcliffe 2b"
"05/10/1875   PH1  PH3  NA  9  PH1 123 Tim McGinley       K+E2/TP.2(3)5(2)4(1)         2*-5*-4*              John Clapp c, Ezra Sutton 3b, John Richmond 2b"
"06/24/1875   NH1  PH1  NA  1  PH1 12- Charlie Gould      E6/P/TP.6(2)6(1)3            6*-6-3**              Davy Force ss, Wes Fisler 1b"
"07/05/1875   CH2  SL2  NA  7  SL2 123 George Zettlein    K+E2/TP.2(B);3XH(2);2X3(25)  2*-2*-5*              Tom Miller c, Bill Hague 3b"
"05/13/1876   NY3  HAR  NL  5  NY3 123 Dick Higham        4(B)3(1)4(2)/LTP             4*-3*-4*              Bill Craver 2b,Joe Start 1b,Bill Craver 2b"
"06/29/1876   NY3  SL3  NL  6  SL3 1-3 Joe Start          6(B)63(1)35(3)/LTP           6*-3*-5*              Dickey Pearce ss,Herman Dehlman 1b,Joe Battin 3b"
"09/13/1876   CN1  PHN  NL  9  PHN 12- Redleg Snyder      5(B)54(2)43(1)/LTP           5*-4*-3*              Levi Meyerle 3b,Wes Fisler 2b,Ezra Sutton 1b"
"07/14/1877   HAR  CHN  NL  8  HAR 12- Harry Smith        1X2(4)43(B)2X3(35)/GTP       4*-3*-5*              Jack Burdock 2b,Joe Start 1b,Bob Ferguson 3b"
"07/14/1877   BSN  SL3  NL  7  BSN 12- Kit McKenna        4(B)43(1)34(2)/LTP           4*-3*-4*              George Wright 2b,John Morrill 1b,George Wright 2b"
"08/01/1877   SL3  LS1  NL  5  LS1 123 Herman Dehlman     9(B)3XH(912362)1X2(2)/FTP    9*-1-2-3-6-2*-2*      Orator Shaffer rf,Jim Devlin p,Pop Snyder c,Jumbo Latham 1b,Bill Craver ss"
05/08/1878   BSN  PRO  NL  8  PRO -23 Jack Burdock       8(B)8(3)8(2)/FTP             8*-8*-8*         [1]  Paul Hines cf
"07/25/1878   CN1  BSN  NL  8  BSN 1-3 Deacon White       5(B)1X2(54)3XH(42)/PTP       5*-4*-2*              Ezra Sutton 3b,Jack Burdock 2b,Pop Snyder c"
"08/07/1878   CHN  BSN  NL  2  BSN 12- John Cassidy       4(B)4(2)3(1)/LTP             4*-4*-3*         [4]  Jack Burdock 2b,John Morrill 1b"
"06/10/1879   CL2  BSN  NL  2  CL2 12- Pop Snyder         54(1)43(B)2XH(32)/GTP        5-4*-3*-2*            Fred Warner 3b,Jack Glasscock 2b,Bill Phillips 1b,Doc Kennedy c"
"06/26/1879   PRO  BSN  NL  6  BSN 12- Bill Hague         K+E2+25(2)54(1)43(B)/TP      2-5*-4*-3*       [3]  Pop Snyder c,Ezra Sutton 3b,Jack Burdock 2b,John Morrill 1b"
"05/07/1880   WOR  PRO  NL  5  WOR -23 Mike McGeary       7(B)75(3)2X3(5)/FTP          7*-5*-5*              George Wood lf,Art Whitney 3b"
"05/20/1880   CL2  CHN  NL  5  CHN 123 Jack Glasscock     K+E2+2(3)1X2(23)3(B)/TP      2*-3*-3*         [3]  Silver Flint c,Cap Anson 1b"
"08/05/1880   CL2  PRO  NL  4  PRO 12- Frank Hankinson    E4.2X3(4)4(1)43(B)/PTP       4*-4*-3*         [3]  Jack Farrell 2b,Joe Start 1b"
"09/21/1880   BSN  PRO  NL  1  PRO 1-3 John O'Rourke      3XH(5)53(B)1X2(34)/GTP       5*-3*-4*              George Bradley 3b,Joe Start 1b,Jack Farrell 2b"
"05/12/1881   PRO  CL2  NL  6  PRO 123 Orator Shaffer     5(B)5(3)53(1)/LTP            5*-5*-3*              Jerry Denny 3b,Joe Start 1b"
"05/14/1881   PRO  BFN  NL  1  BFN 12- Jack Farrell       1X2(4)B(43)2XH(32)/GTP       4*-3*-2*              Davy Force 2b,Curry Foley 1b,Jack Rowe c"
"09/15/1881   BFN  WOR  NL  6  BFN 12- Harry Stovey       4(1)43(B)2X3(35)/GTP         4*-3*-5*              Davy Force 2b,Dan Brouthers 1b,Jim O'Rourke 3b"
"05/05/1882   TRN  BSN  NL  3  TRN 12- Sam Wise           K+E2+25(2)54(1)43(B)/TP      2-5*-4*-3*       [3]  Buck Ewing c,Roger Connor 3b,Bob Ferguson 2b,Bill Harbridge 1b"
"05/27/1882   SL4  PH4  AA  8  PH4 123 Bill Smiley        1(B)15(3)53(1)/LTP           1*-5*-3*              Sam Weaver p,Pop Smith 3b,Jumbo Latham 1b"
"05/30/1882   BFN  BSN  NL  6  BFN 123 John Morrill       K+E2+25(2)54(1)43(B)/TP      2-5*-4*-3*       [3]  Deacon White c,Davy Force 3b,Hardy Richardson 2b,Dan Brouthers 1b"
